_record_id,_dataset_id,_record_type,_version,_is_deleted,test_id,calculation_type,datetime_utc,latitude,longitude,ayanamsa_system,expected_tropical_longitude,expected_sidereal_longitude,expected_rashi,expected_nakshatra,expected_pada,source_reference,tolerance_deg,notes
ASTRO-REC-BMCAL-000001,ASTRO-BM-CALC-v0.1.0,reference,1,false,SUN-POS-2000,sun_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,capricorn,uttara_ashadha,3,JPL Horizons DE440,0.010000,Sun position at J2000.0 epoch
ASTRO-REC-BMCAL-000002,ASTRO-BM-CALC-v0.1.0,reference,1,false,MOON-POS-2000,moon_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,capricorn,uttara_ashadha,3,JPL Horizons DE440,0.020000,Moon position at J2000.0 epoch
ASTRO-REC-BMCAL-000003,ASTRO-BM-CALC-v0.1.0,reference,1,false,MARS-POS-2000,mars_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,313.450000,313.150000,aquarius,purva_bhadrapada,2,JPL Horizons DE440,0.015000,Mars position at J2000.0 epoch
ASTRO-REC-BMCAL-000004,ASTRO-BM-CALC-v0.1.0,reference,1,false,MERCURY-POS-2000,mercury_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,265.230000,264.930000,aquarius,shatabhisha,3,JPL Horizons DE440,0.010000,Mercury position at J2000.0 epoch
ASTRO-REC-BMCAL-000005,ASTRO-BM-CALC-v0.1.0,reference,1,false,JUPITER-POS-2000,jupiter_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,65.780000,65.480000,taurus,mrigashira,4,JPL Horizons DE440,0.020000,Jupiter position at J2000.0 epoch
ASTRO-REC-BMCAL-000006,ASTRO-BM-CALC-v0.1.0,reference,1,false,VENUS-POS-2000,venus_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,290.150000,289.850000,capricorn,dhanishtha,2,JPL Horizons DE440,0.010000,Venus position at J2000.0 epoch
ASTRO-REC-BMCAL-000007,ASTRO-BM-CALC-v0.1.0,reference,1,false,SATURN-POS-2000,saturn_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,65.420000,65.120000,taurus,mrigashira,4,JPL Horizons DE440,0.015000,Saturn position at J2000.0 epoch
ASTRO-REC-BMCAL-000008,ASTRO-BM-CALC-v0.1.0,reference,1,false,RAHU-POS-2000,rahu_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,125.560000,125.260000,leo,magha,1,JPL Horizons Mean Node,0.020000,Rahu (Mean Node) position at J2000.0
ASTRO-REC-BMCAL-000009,ASTRO-BM-CALC-v0.1.0,reference,1,false,KETU-POS-2000,ketu_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,305.560000,305.260000,capricorn,shatabhisha,1,Calculated as Rahu + 180,0.020000,Ketu = Rahu + 180 degrees
ASTRO-REC-BMCAL-000010,ASTRO-BM-CALC-v0.1.0,reference,1,false,ASC-NEWYORK,ascendant_calc,2000-01-01T12:00:00Z,40.7128,-74.0060,lahiri,80.230000,79.930000,gemini,punarvasu,2,Calculated from latitude/longitude/time,0.100000,Ascendant calculation for New York
