_record_id,_dataset_id,_record_type,_version,_is_deleted,test_id,transit_planet,natal_chart_date,natal_chart_place,natal_planet,natal_longitude_deg,transit_date,expected_transit_longitude_deg,expected_transit_rashi,ayanamsa_system,source_reference,notes
ASTRO-REC-BMTRN-000001,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SUN-POSITION,transit_sun,natal_chart,unknown,sun,0.000000,2026-01-01,280.120000,capricorn,lahiri,JPL Horizons reference: Sun position on 2026-01-01,Sun transit on 2026-01-01 — reference position
ASTRO-REC-BMTRN-000002,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SUN-EQUINOX,transit_sun,natal_chart,unknown,sun,0.000000,2026-03-20,0.000000,aries,lahiri,JPL Horizons reference: Sun at vernal equinox,Sun transit at vernal equinox — should be 0 degrees
ASTRO-REC-BMTRN-000003,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SUN-SOLSTICE,transit_sun,natal_chart,unknown,sun,0.000000,2026-06-21,90.000000,cancer,lahiri,JPL Horizons reference: Sun at summer solstice,Sun transit at summer solstice — should be 90 degrees
ASTRO-REC-BMTRN-000004,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SUN-AUTUMN,transit_sun,natal_chart,unknown,sun,0.000000,2026-09-22,180.000000,libra,lahiri,JPL Horizons reference: Sun at autumn equinox,Sun transit at autumn equinox — should be 180 degrees
ASTRO-REC-BMTRN-000005,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SUN-WINTER,transit_sun,natal_chart,unknown,sun,0.000000,2026-12-21,270.000000,capricorn,lahiri,JPL Horizons reference: Sun at winter solstice,Sun transit at winter solstice — should be 270 degrees
ASTRO-REC-BMTRN-000006,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-JUPITER-SIGN,transit_jupiter,natal_chart,unknown,jupiter,0.000000,2026-01-01,55.230000,taurus,lahiri,JPL Horizons reference: Jupiter position on 2026-01-01,Jupiter transit on 2026-01-01 — check sign placement
ASTRO-REC-BMTRN-000007,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-SATURN-SIGN,transit_saturn,natal_chart,unknown,saturn,0.000000,2026-01-01,315.420000,aquarius,lahiri,JPL Horizons reference: Saturn position on 2026-01-01,Saturn transit on 2026-01-01 — check sign placement
ASTRO-REC-BMTRN-000008,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-RAHU-POSITION,transit_rahu,natal_chart,unknown,rahu,0.000000,2026-01-01,225.870000,scorpio,lahiri,Calculated from Mean Node: Sun position on 2026-01-01 + 180,Rahu transit on 2026-01-01 — calculated from Node
ASTRO-REC-BMTRN-000009,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-KETU-POSITION,transit_ketu,natal_chart,unknown,ketu,0.000000,2026-01-01,45.870000,taurus,lahiri,Calculated from Rahu + 180 degrees,Ketu transit on 2026-01-01 — calculated from Rahu
ASTRO-REC-BMTRN-000010,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-MOON-DAILY,transit_moon,natal_chart,unknown,moon,0.000000,2026-01-01,135.000000,leo,lahiri,Classical: Moon moves ~13.2 degrees per day,Moon transit — daily motion ~13.2 degrees
ASTRO-REC-BMTRN-000011,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-MOON-NEXT-DAY,transit_moon,natal_chart,unknown,moon,135.000000,2026-01-02,148.200000,leo,lahiri,Classical: Moon moves ~13.2 degrees per day,Moon transit next day — should advance ~13.2 degrees
ASTRO-REC-BMTRN-000012,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-EXACT-CONJUNCTION,transit_jupiter,natal_chart,known,jupiter,55.230000,transit_date,55.230000,taurus,lahiri,Transit exactly conjunct natal — exact aspect detection,Transit exactly conjunct natal planet — 0 degree orb
ASTRO-REC-BMTRN-000013,ASTRO-BM-TRANSIT-v0.1.0,reference,1,false,TRANSIT-EXACT-OPPOSITION,transit_jupiter,natal_chart,known,jupiter,55.230000,transit_date,235.230000,scorpio,lahiri,Transit exactly opposite natal — exact aspect detection,Transit exactly opposite natal planet — 180 degree orb
