_record_id,_dataset_id,_record_type,_version,_is_deleted,birth_date,birth_date_accuracy,birth_time,birth_time_accuracy,birth_place,birth_latitude,birth_longitude,country_code,birth_timezone,person_name_display,gender,wikipedia_title,wikidata_id,occupations,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-WIKI-000001,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1879-03-14,exact,,unknown,Ulm, Germany,48.4010,9.9876,DE,Europe/Berlin,Albert Einstein,male,Albert_Einstein,Q937,physicist|mathematician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000002,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1643-01-04,exact,,unknown,Woolsthorpe, England,52.8000,-0.6333,GB,Europe/London,Isaac Newton,male,Isaac_Newton,Q935,physicist|mathematician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000003,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1867-11-07,exact,,unknown,Warsaw, Poland,52.2297,21.0122,PL,Europe/Warsaw,Marie Curie,female,Marie_Curie,Q7186,physicist|chemist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000004,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1815-12-10,exact,,unknown,London, England,51.5074,-0.1278,GB,Europe/London,Ada Lovelace,female,Ada_Lovelace,Q7259,mathematician|writer,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000005,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1912-06-23,exact,,unknown,London, England,51.5074,-0.1278,GB,Europe/London,Alan Turing,male,Alan_Turing,Q7259,computer_scientist|mathematician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000006,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1452-04-15,exact,,unknown,Anchiano, Italy,43.7886,11.2469,IT,Europe/Rome,Leonardo da Vinci,male,Leonardo_da_Vinci,Q762,artist|inventor,wikipedia_infobox,verified_single_source,verified,public
ASTRO-REC-WIKI-000007,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1955-10-28,exact,,unknown,Seattle, Washington,47.6062,-122.3321,US,America/Los_Angeles,Bill Gates,male,Bill_Gates,Q5284,businessman|philanthropist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000008,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1847-02-11,exact,08:00:00,estimated_window_lt_1h,Milan, Ohio,41.3000,-82.6000,US,America/New_York,Thomas Edison,male,Thomas_Edison,Q8743,inventor|businessman,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000009,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1921-01-01,exact,,unknown,Czechowice-Dziedzice, Poland,49.9137,18.9942,PL,Europe/Warsaw,Czeslaw Milosz,male,Czeslaw_Milosz,Q72351,poet|writer,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000010,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1949-04-20,exact,,unknown,New York City, New York,40.7128,-74.0060,US,America/New_York,Jessica Lange,female,Jessica_Lange,Q217060,actress,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000011,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1942-01-08,exact,,unknown,Oxford, England,51.7520,-1.2577,GB,Europe/London,Stephen Hawking,male,Stephen_Hawking,Q17714,physicist|cosmologist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000012,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1842-12-16,exact,,unknown,Edinburgh, Scotland,55.9533,-3.1883,GB,Europe/London,Arthur Conan Doyle,male,Arthur_Conan_Doyle,Q35610,writer|physician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000013,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1903-12-28,exact,,unknown,Budapest, Hungary,47.4979,19.0402,HU,Europe/Budapest,John von Neumann,male,John_von_Neumann,Q17455,mathematician|physicist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000014,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1947-09-21,exact,,unknown,Portland, Maine,43.6591,-70.2568,US,America/New_York,Stephen King,male,Stephen_King,Q39829,author,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000015,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1997-09-07,exact,,unknown,London, England,51.5074,-0.1278,GB,Europe/London,Emma Watson,female,Emma_Watson,Q39476,actress|activist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000016,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1869-10-02,exact,,unknown,Porbandar, India,21.6417,69.6293,IN,Asia/Kolkata,Mahatma Gandhi,male,Mahatma_Gandhi,Q1001,lawyer|politician|activist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000017,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1918-07-18,exact,,unknown,Mvezo, South Africa,-31.9500,28.7500,ZA,Africa/Johannesburg,Nelson Mandela,male,Nelson_Mandela,Q8023,lawyer|politician|activist,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000018,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1928-06-14,exact,,unknown,Rosario, Argentina,-32.9468,-60.6393,AR,America/Argentina/Cordoba,Che Guevara,male,Che_Guevara,Q8497,physician|revolutionary,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000019,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1897-09-12,exact,,unknown,Sialkot, Pakistan,32.4945,74.5220,PK,Asia/Karachi,Muhammad Iqbal,male,Allama_Iqbal,Q484624,poet|philosopher,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000020,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1881-10-25,exact,,unknown,Malaga, Spain,36.7213,-4.4214,ES,Europe/Madrid,Pablo Picasso,male,Pablo_Picasso,Q5593,painter|sculptor,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000021,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1928-03-12,exact,,unknown,Warsaw, Poland,52.2297,21.0122,PL,Europe/Warsaw,Edward Albee,male,Edward_Albee,Q232756,playwright,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000022,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1929-01-15,exact,,unknown,Atlanta, Georgia,33.7490,-84.3880,US,America/New_York,Martin Luther King Jr.,male,Martin_Luther_King_Jr.,Q8027,activist|minister,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000023,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1958-08-29,exact,,unknown,Gary, Indiana,41.5934,-87.3464,US,America/Chicago,Michael Jackson,male,Michael_Jackson,Q2831,singer|dancer,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000024,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1908-09-15,exact,,unknown,Sichuan, China,30.5728,104.0668,CN,Asia/Shanghai,Deng Xiaoping,male,Deng_Xiaoping,Q9354,politician|reformer,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000025,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1947-10-05,exact,,unknown,London, England,51.5074,-0.1278,GB,Europe/London,Brian Johnson,male,Brian_Johnson,Q6386691,singer|songwriter,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000026,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1957-09-12,exact,,unknown,Egbeda, Nigeria,6.7500,3.6500,NG,Africa/Lagos,Wole Soyinka,male,Wole_Soyinka,Q41491,playwright|poet,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000027,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1883-12-16,exact,,unknown,Shanghai, China,31.2304,121.4737,CN,Asia/Shanghai,Mao Zedong,male,Mao_Zedong,Q5815,politician|revolutionary,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000028,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1918-12-23,exact,,unknown,Madras, India,13.0827,80.2707,IN,Asia/Kolkata,M. S. Subbulakshmi,female,M_S_Subbulakshmi,Q466411,singer|carnatic_musician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000029,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1945-12-10,exact,,unknown,Lima, Peru,-12.0464,-77.0428,PE,America/Lima,Mario Vargas Llosa,male,Mario_Vargas_Llosa,Q39802,writer|politician,wikipedia_infobox,verified_multi_source,verified,public
ASTRO-REC-WIKI-000030,ASTRO-PB-WIKI-v0.1.0,chart,1,false,1929-04-08,exact,,unknown,Deer Lake, Newfoundland,48.4781,-57.3538,CA,America/St_Johns,Tommy Ricketts,male,Tommy_Ricketts,Q7811596,soldier,wikipedia_infobox,verified_single_source,verified,public
