_record_id,_dataset_id,_record_type,_version,_is_deleted,nakshatra_number,name,number,lord,start_degree,end_degree,deity,symbol,gana,nadi,varna,yoni,shakti
ASTRO-REC-NAK-000001,ASTRO-RF-NAK-v1.0.0,reference,1,false,1,ashwini,1,ketu,0.0,13.333333,,,,,,,,
ASTRO-REC-NAK-000002,ASTRO-RF-NAK-v1.0.0,reference,1,false,2,bharani,2,venus,13.333333,26.666667,,,,,,,,
ASTRO-REC-NAK-000003,ASTRO-RF-NAK-v1.0.0,reference,1,false,3,krittika,3,sun,26.666667,40.0,,,,,,,,
ASTRO-REC-NAK-000004,ASTRO-RF-NAK-v1.0.0,reference,1,false,4,rohini,4,moon,40.0,53.333333,,,,,,,,
ASTRO-REC-NAK-000005,ASTRO-RF-NAK-v1.0.0,reference,1,false,5,mrigashira,5,mars,53.333333,66.666667,,,,,,,,
ASTRO-REC-NAK-000006,ASTRO-RF-NAK-v1.0.0,reference,1,false,6,ardra,6,rahu,66.666667,80.0,,,,,,,,
ASTRO-REC-NAK-000007,ASTRO-RF-NAK-v1.0.0,reference,1,false,7,punarvasu,7,jupiter,80.0,93.333333,,,,,,,,
ASTRO-REC-NAK-000008,ASTRO-RF-NAK-v1.0.0,reference,1,false,8,pushya,8,saturn,93.333333,106.666667,,,,,,,,
ASTRO-REC-NAK-000009,ASTRO-RF-NAK-v1.0.0,reference,1,false,9,ashlesha,9,mercury,106.666667,120.0,,,,,,,,
ASTRO-REC-NAK-000010,ASTRO-RF-NAK-v1.0.0,reference,1,false,10,magha,10,ketu,120.0,133.333333,,,,,,,,
ASTRO-REC-NAK-000011,ASTRO-RF-NAK-v1.0.0,reference,1,false,11,purva_phalguni,11,venus,133.333333,146.666667,,,,,,,,
ASTRO-REC-NAK-000012,ASTRO-RF-NAK-v1.0.0,reference,1,false,12,uttara_phalguni,12,sun,146.666667,160.0,,,,,,,,
ASTRO-REC-NAK-000013,ASTRO-RF-NAK-v1.0.0,reference,1,false,13,hasta,13,moon,160.0,173.333333,,,,,,,,
ASTRO-REC-NAK-000014,ASTRO-RF-NAK-v1.0.0,reference,1,false,14,chitra,14,mars,173.333333,186.666667,,,,,,,,
ASTRO-REC-NAK-000015,ASTRO-RF-NAK-v1.0.0,reference,1,false,15,swati,15,rahu,186.666667,200.0,,,,,,,,
ASTRO-REC-NAK-000016,ASTRO-RF-NAK-v1.0.0,reference,1,false,16,vishakha,16,jupiter,200.0,213.333333,,,,,,,,
ASTRO-REC-NAK-000017,ASTRO-RF-NAK-v1.0.0,reference,1,false,17,anuradha,17,saturn,213.333333,226.666667,,,,,,,,
ASTRO-REC-NAK-000018,ASTRO-RF-NAK-v1.0.0,reference,1,false,18,jyeshtha,18,mercury,226.666667,240.0,,,,,,,,
ASTRO-REC-NAK-000019,ASTRO-RF-NAK-v1.0.0,reference,1,false,19,mula,19,ketu,240.0,253.333333,,,,,,,,
ASTRO-REC-NAK-000020,ASTRO-RF-NAK-v1.0.0,reference,1,false,20,purva_ashadha,20,venus,253.333333,266.666667,,,,,,,,
ASTRO-REC-NAK-000021,ASTRO-RF-NAK-v1.0.0,reference,1,false,21,uttara_ashadha,21,sun,266.666667,280.0,,,,,,,,
ASTRO-REC-NAK-000022,ASTRO-RF-NAK-v1.0.0,reference,1,false,22,shravana,22,moon,280.0,293.333333,,,,,,,,
ASTRO-REC-NAK-000023,ASTRO-RF-NAK-v1.0.0,reference,1,false,23,dhanishtha,23,mars,293.333333,306.666667,,,,,,,,
ASTRO-REC-NAK-000024,ASTRO-RF-NAK-v1.0.0,reference,1,false,24,shatabhisha,24,rahu,306.666667,320.0,,,,,,,,
ASTRO-REC-NAK-000025,ASTRO-RF-NAK-v1.0.0,reference,1,false,25,purva_bhadrapada,25,jupiter,320.0,333.333333,,,,,,,,
ASTRO-REC-NAK-000026,ASTRO-RF-NAK-v1.0.0,reference,1,false,26,uttara_bhadrapada,26,saturn,333.333333,346.666667,,,,,,,,
ASTRO-REC-NAK-000027,ASTRO-RF-NAK-v1.0.0,reference,1,false,27,revati,27,mercury,346.666667,360.0,,,,,,,,
