_record_id,_dataset_id,_record_type,_version,_is_deleted,pada_id,nakshatra_name,nakshatra_id,pada_number,navamsha_rashi,start_degree,end_degree
ASTRO-REC-PADA-000001,ASTRO-RF-PADA-v1.0.0,reference,1,false,1,ashwini,1,1,aries,0.0,3.333333
ASTRO-REC-PADA-000002,ASTRO-RF-PADA-v1.0.0,reference,1,false,2,ashwini,1,2,taurus,3.333333,6.666667
ASTRO-REC-PADA-000003,ASTRO-RF-PADA-v1.0.0,reference,1,false,3,ashwini,1,3,gemini,6.666667,10.0
ASTRO-REC-PADA-000004,ASTRO-RF-PADA-v1.0.0,reference,1,false,4,ashwini,1,4,cancer,10.0,13.333333
ASTRO-REC-PADA-000005,ASTRO-RF-PADA-v1.0.0,reference,1,false,5,bharani,2,1,leo,13.333333,16.666667
ASTRO-REC-PADA-000006,ASTRO-RF-PADA-v1.0.0,reference,1,false,6,bharani,2,2,virgo,16.666667,20.0
ASTRO-REC-PADA-000007,ASTRO-RF-PADA-v1.0.0,reference,1,false,7,bharani,2,3,libra,20.0,23.333333
ASTRO-REC-PADA-000008,ASTRO-RF-PADA-v1.0.0,reference,1,false,8,bharani,2,4,scorpio,23.333333,26.666667
ASTRO-REC-PADA-000009,ASTRO-RF-PADA-v1.0.0,reference,1,false,9,krittika,3,1,sagittarius,26.666667,30.0
ASTRO-REC-PADA-000010,ASTRO-RF-PADA-v1.0.0,reference,1,false,10,krittika,3,2,capricorn,30.0,33.333333
ASTRO-REC-PADA-000011,ASTRO-RF-PADA-v1.0.0,reference,1,false,11,krittika,3,3,aquarius,33.333333,36.666667
ASTRO-REC-PADA-000012,ASTRO-RF-PADA-v1.0.0,reference,1,false,12,krittika,3,4,pisces,36.666667,40.0
ASTRO-REC-PADA-000013,ASTRO-RF-PADA-v1.0.0,reference,1,false,13,rohini,4,1,aries,40.0,43.333333
ASTRO-REC-PADA-000014,ASTRO-RF-PADA-v1.0.0,reference,1,false,14,rohini,4,2,taurus,43.333333,46.666667
ASTRO-REC-PADA-000015,ASTRO-RF-PADA-v1.0.0,reference,1,false,15,rohini,4,3,gemini,46.666667,50.0
ASTRO-REC-PADA-000016,ASTRO-RF-PADA-v1.0.0,reference,1,false,16,rohini,4,4,cancer,50.0,53.333333
ASTRO-REC-PADA-000017,ASTRO-RF-PADA-v1.0.0,reference,1,false,17,mrigashira,5,1,leo,53.333333,56.666667
ASTRO-REC-PADA-000018,ASTRO-RF-PADA-v1.0.0,reference,1,false,18,mrigashira,5,2,virgo,56.666667,60.0
ASTRO-REC-PADA-000019,ASTRO-RF-PADA-v1.0.0,reference,1,false,19,mrigashira,5,3,libra,60.0,63.333333
ASTRO-REC-PADA-000020,ASTRO-RF-PADA-v1.0.0,reference,1,false,20,mrigashira,5,4,scorpio,63.333333,66.666667
ASTRO-REC-PADA-000021,ASTRO-RF-PADA-v1.0.0,reference,1,false,21,ardra,6,1,sagittarius,66.666667,70.0
ASTRO-REC-PADA-000022,ASTRO-RF-PADA-v1.0.0,reference,1,false,22,ardra,6,2,capricorn,70.0,73.333333
ASTRO-REC-PADA-000023,ASTRO-RF-PADA-v1.0.0,reference,1,false,23,ardra,6,3,aquarius,73.333333,76.666667
ASTRO-REC-PADA-000024,ASTRO-RF-PADA-v1.0.0,reference,1,false,24,ardra,6,4,pisces,76.666667,80.0
ASTRO-REC-PADA-000025,ASTRO-RF-PADA-v1.0.0,reference,1,false,25,punarvasu,7,1,aries,80.0,83.333333
