_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-EVNT-000001,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1903-01-01,estimated_year,career_start,career,Patent clerk in Bern,Einstein begins work as a patent clerk at the Swiss Patent Office in Bern,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000002,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1905-01-01,estimated_year,career_milestone,career,Annus Mirabilis papers,"Publishes four groundbreaking papers on photoelectric effect, Brownian motion, special relativity, and mass-energy equivalence",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000003,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1919-05-29,exact,career_milestone,career,Solar eclipse confirms relativity,Arthur Eddington's expedition confirms general relativity during solar eclipse,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000004,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1922-11-09,exact,career_milestone,career,Nobel Prize in Physics,Awarded Nobel Prize in Physics for photoelectric effect,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000008,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1903-12-10,exact,career_milestone,career,Nobel Prize in Physics,Awarded Nobel Prize in Physics jointly with Pierre Curie and Henri Becquerel,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000009,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1911-12-10,exact,career_milestone,career,Nobel Prize in Chemistry,Awarded Nobel Prize in Chemistry for discovery of radium and polonium,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000012,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000005,1940-01-01,estimated_year,career_milestone,career,Bombe machine breaks Enigma,Turing's Bombe machine successfully decrypts German Enigma messages at Bletchley Park,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000015,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000011,1988-03-01,exact,career_milestone,career,A Brief History of Time published,Hawking's popular science book becomes international bestseller,biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000016,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000007,1975-01-01,estimated_year,career_start,career,Microsoft founded,"Bill Gates co-founds Microsoft with Paul Allen in Albuquerque, New Mexico",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000017,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000007,2000-01-13,exact,career_change,career,Steps down as Microsoft CEO,Gates transitions from CEO to Chief Software Architect,biography,verified_multi_source,verified,public
