_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-EVNT-000001,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1903-01-01,estimated_year,career_start,career,"Patent clerk in Bern","Einstein begins work as a patent clerk at the Swiss Patent Office in Bern",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000002,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1905-01-01,estimated_year,career_milestone,career,"Annus Mirabilis papers","Publishes four groundbreaking papers on photoelectric effect, Brownian motion, special relativity, and mass-energy equivalence",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000003,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1919-05-29,exact,career_milestone,career,"Solar eclipse confirms relativity","Arthur Eddington's expedition confirms general relativity during solar eclipse",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000004,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1922-11-09,exact,career_milestone,career,"Nobel Prize in Physics","Awarded Nobel Prize in Physics for photoelectric effect",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000005,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1955-04-18,exact,death,life_milestone,"Death at Princeton","Dies at Princeton Hospital, New Jersey at age 76",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000006,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1891-01-01,estimated_year,education_start,education,"Begins studies at Sorbonne","Marie Curie begins studying physics and mathematics at the University of Paris",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000007,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1895-07-26,exact,marriage,life_milestone,"Marriage to Pierre Curie","Marries Pierre Curie, fellow physicist",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000008,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1903-12-10,exact,career_milestone,career,"Nobel Prize in Physics","Awarded Nobel Prize in Physics jointly with Pierre Curie and Henri Becquerel",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000009,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1911-12-10,exact,career_milestone,career,"Nobel Prize in Chemistry","Awarded Nobel Prize in Chemistry for discovery of radium and polonium",biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000010,ASTRO-RS-EVENT-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1934-07-04,exact,death,life_milestone,"Death from aplastic anemia","Dies of aplastic anemia at the Sancellemoz sanatorium in Passy",biography,verified_multi_source,verified,public
