_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-EVNT-000377,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-098082,1965-04-04,exact,health_onset,health,Diagnosis of liver disease,Andy Warhol - diagnosis of liver disease (1965-04-04),news_archive,verified_single_source,verified,public
ASTRO-REC-EVNT-000422,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-093056,1970-01-07,estimated_year,health_decline,health,Health decline,Steve Jobs - health decline (1970-01-07),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000403,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-072532,1932-02-07,exact,health_onset,health,Surgery for liver disease,Frida Kahlo - surgery for liver disease (1932-02-07),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000457,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-051353,1984-06-15,exact,health_decline,health,Health decline,Stephen King - health decline (1984-06-15),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000387,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-048533,1953-01-02,estimated_year,health_onset,health,Surgery for heart disease,Agatha Christie - surgery for heart disease (1953-01-02),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000367,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-073767,1842-04-21,exact,health_recovery,health,Recovery from cancer,Abraham Lincoln - recovery from cancer (1842-04-21),biography,verified_multi_source,estimated,public
ASTRO-REC-EVNT-000454,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-019529,1926-09-24,exact,health_onset,health,Diagnosis of liver disease,Alfred Hitchcock - diagnosis of liver disease (1926-09-24),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000492,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-097019,1952-08-14,exact,health_onset,health,Diagnosis of pneumonia,Georgia O'Keeffe - diagnosis of pneumonia (1952-08-14),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000486,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-027023,2021-11-15,exact,health_onset,health,Diagnosis of stroke,Lionel Messi - diagnosis of stroke (2021-11-15),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000441,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-027023,2022-07-22,estimated_year,health_onset,health,Surgery for stroke,Lionel Messi - surgery for stroke (2022-07-22),biography,verified_multi_source,estimated,public
