_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-EVNT-000785,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-084388,1907-10-15,estimated_year,spiritual_initiation,spiritual,founding of spiritual movement,Nikola Tesla - founding of spiritual movement (1907-10-15),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000744,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-004809,1946-10-25,exact,spiritual_experience,spiritual,Spiritual awakening,Walt Disney - spiritual awakening (1946-10-25),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000792,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-070095,1873-05-13,exact,spiritual_initiation,spiritual,publication of spiritual work,John D. Rockefeller - publication of spiritual work (1873-05-13),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000906,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-067019,1988-05-06,exact,spiritual_initiation,spiritual,publication of spiritual work,Serena Williams - publication of spiritual work (1988-05-06),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000741,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-007439,2006-12-11,estimated_year,spiritual_milestone,spiritual,Publication of philosophical work,Michael Jordan - publication of philosophical work (2006-12-11),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000804,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-067019,1992-01-02,exact,spiritual_experience,spiritual,Spiritual awakening,Serena Williams - spiritual awakening (1992-01-02),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000831,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-035650,1985-12-27,estimated_year,spiritual_experience,spiritual,Spiritual awakening,Alan Turing - spiritual awakening (1985-12-27),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000857,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-061967,1953-09-16,estimated_year,spiritual_milestone,spiritual,Publication of spiritual book,John F. Kennedy - publication of spiritual book (1953-09-16),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000871,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-019529,1916-12-27,exact,spiritual_milestone,spiritual,Publication of teachings,Alfred Hitchcock - publication of teachings (1916-12-27),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000776,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-027023,2016-12-10,exact,spiritual_milestone,spiritual,Publication of spiritual book,Lionel Messi - publication of spiritual book (2016-12-10),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000870,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-035650,1970-09-17,estimated_year,spiritual_experience,spiritual,Spiritual awakening,Alan Turing - spiritual awakening (1970-09-17),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000846,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-012986,1609-02-03,estimated_year,spiritual_experience,spiritual,Spiritual awakening,William Shakespeare - spiritual awakening (1609-02-03),biography,verified_multi_source,verified,public
