_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier,privacy_tier
ASTRO-REC-EVNT-000676,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-073767,1826-01-07,exact,financial_gain,wealth,First major {source},Abraham Lincoln - first major {source} (1826-01-07),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000559,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-013770,1658-01-01,exact,financial_gain,wealth,First major {source},Isaac Newton - first major {source} (1658-01-01),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000606,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-012740,1977-07-02,exact,financial_gain,wealth,First major {source},Stephen Hawking - first major {source} (1977-07-02),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000680,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-072532,1945-01-14,exact,financial_milestone,wealth,Philanthropic giving,Frida Kahlo - philanthropic giving (1945-01-14),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000708,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-072532,1933-09-02,estimated_year,financial_milestone,wealth,founding of company,Frida Kahlo - founding of company (1933-09-02),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000642,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-013264,2019-07-01,estimated_year,financial_milestone,wealth,founding of company,Usain Bolt - founding of company (2019-07-01),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000698,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-081846,1485-05-19,estimated_year,financial_milestone,wealth,first million,Leonardo da Vinci - first million (1485-05-19),news_archive,verified_single_source,estimated,public
ASTRO-REC-EVNT-000658,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-027023,2019-03-11,estimated_year,financial_milestone,wealth,merger,Lionel Messi - merger (2019-03-11),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000581,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-007439,1994-08-24,exact,financial_milestone,wealth,bankruptcy,Michael Jordan - bankruptcy (1994-08-24),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000623,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-031327,1781-10-02,exact,financial_milestone,wealth,first million,Jane Austen - first million (1781-10-02),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000587,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-070689,1948-06-21,estimated_year,financial_milestone,wealth,founding of company,Albert Einstein - founding of company (1948-06-21),news_archive,verified_multi_source,estimated,public
ASTRO-REC-EVNT-000694,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-064861,1905-10-05,estimated_year,financial_milestone,wealth,bankruptcy,Marie Curie - bankruptcy (1905-10-05),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000668,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-065954,1974-06-20,exact,financial_milestone,wealth,Philanthropic charitable foundation,Nelson Mandela - philanthropic charitable foundation (1974-06-20),biography,verified_multi_source,estimated,public
ASTRO-REC-EVNT-000719,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-066665,1603-10-03,exact,financial_milestone,wealth,acquisition,Galileo Galilei - acquisition (1603-10-03),biography,verified_multi_source,estimated,public
ASTRO-REC-EVNT-000582,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-049048,1997-11-21,estimated_year,financial_milestone,wealth,inheritance,Elon Musk - inheritance (1997-11-21),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000731,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-073997,1950-04-06,exact,financial_gain,wealth,First major {source},Warren Buffett - first major {source} (1950-04-06),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000565,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-060447,1816-07-07,estimated_year,financial_milestone,wealth,bankruptcy,Ludwig van Beethoven - bankruptcy (1816-07-07),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000608,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-090638,1481-02-05,estimated_year,financial_milestone,wealth,first million,Michelangelo - first million (1481-02-05),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000704,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-061967,1958-05-02,exact,financial_gain,wealth,First major {source},John F. Kennedy - first major {source} (1958-05-02),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000664,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-067036,1845-06-24,estimated_year,financial_milestone,wealth,Philanthropic giving,Charles Dickens - philanthropic giving (1845-06-24),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000696,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-097019,1924-09-10,exact,financial_milestone,wealth,Philanthropic giving,Georgia O'Keeffe - philanthropic giving (1924-09-10),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000563,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-007439,1979-03-22,estimated_year,financial_gain,wealth,First major {source},Michael Jordan - first major {source} (1979-03-22),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000729,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-031327,1834-07-09,exact,financial_milestone,wealth,Philanthropic charitable foundation,Jane Austen - philanthropic charitable foundation (1834-07-09),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000600,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-081846,1475-09-21,estimated_year,financial_milestone,wealth,Philanthropic giving,Leonardo da Vinci - philanthropic giving (1475-09-21),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000671,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-019529,1926-05-19,exact,financial_milestone,wealth,Philanthropic giving,Alfred Hitchcock - philanthropic giving (1926-05-19),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000712,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-051353,1957-02-04,exact,financial_milestone,wealth,merger,Stephen King - merger (1957-02-04),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000657,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-073767,1816-03-16,estimated_year,financial_milestone,wealth,first million,Abraham Lincoln - first million (1816-03-16),news_archive,verified_multi_source,verified,public
ASTRO-REC-EVNT-000569,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-076229,1962-02-14,estimated_year,financial_milestone,wealth,bankruptcy,Stanley Kubrick - bankruptcy (1962-02-14),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000604,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-013770,1692-05-23,exact,financial_milestone,wealth,inheritance,Isaac Newton - inheritance (1692-05-23),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000557,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-031327,1828-01-19,exact,financial_gain,wealth,First major {source},Jane Austen - first major {source} (1828-01-19),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000705,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-014542,1823-10-14,exact,financial_milestone,wealth,founding of company,Charles Darwin - founding of company (1823-10-14),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000665,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-019559,1855-10-13,exact,financial_milestone,wealth,merger,Ada Lovelace - merger (1855-10-13),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000593,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-025975,2006-10-03,exact,financial_milestone,wealth,stock market crash,Jeff Bezos - stock market crash (2006-10-03),news_archive,verified_multi_source,verified,public
ASTRO-REC-EVNT-000591,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-031900,1941-12-28,exact,financial_milestone,wealth,first million,Gabriel Garcia Marquez - first million (1941-12-28),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000661,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-041303,1920-03-24,exact,financial_milestone,wealth,bankruptcy,Salvador Dali - bankruptcy (1920-03-24),biography,verified_single_source,verified,public
ASTRO-REC-EVNT-000645,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-025975,2015-09-24,exact,financial_milestone,wealth,Philanthropic giving,Jeff Bezos - philanthropic giving (2015-09-24),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000726,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-070689,1924-07-04,estimated_year,financial_milestone,wealth,Philanthropic philanthropic work,Albert Einstein - philanthropic philanthropic work (1924-07-04),biography,verified_multi_source,verified,public
ASTRO-REC-EVNT-000573,ASTRO-RS-EVENT-v1.0.0,event,1,false,ASTRO-REC-COHORT-076229,1936-08-15,estimated_year,financial_milestone,wealth,Philanthropic charitable foundation,Stanley Kubrick - philanthropic charitable foundation (1936-08-15),biography,verified_single_source,verified,public
