_record_id,_dataset_id,_record_type,_version,_is_deleted,birth_date,birth_time,birth_year,birth_month,birth_dow,birth_hour,latitude,longitude,country_code,timezone_offset_minutes,region,confidence_tier,privacy_tier
ASTRO-REC-RANDOM-000001,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1903-12-09,07:14:08,1903,12,3,7.233333333333333,18.0259,30.7525,ZA,120,africa,synthetic,public
ASTRO-REC-RANDOM-000002,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1904-01-03,06:14:32,1904,1,6,6.233333333333333,26.0707,110.5121,IR,420,asia,synthetic,public
ASTRO-REC-RANDOM-000003,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1969-07-08,14:37:17,1969,7,2,14.616666666666667,23.279,-19.5126,KE,-60,africa,synthetic,public
ASTRO-REC-RANDOM-000004,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1943-05-05,06:48:21,1943,5,3,6.8,-27.6409,8.4945,MA,60,africa,synthetic,public
ASTRO-REC-RANDOM-000005,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1977-05-26,01:46:29,1977,5,4,1.7666666666666666,53.768,38.6558,SE,180,europe,synthetic,public
ASTRO-REC-RANDOM-000006,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1937-11-20,11:36:12,1937,11,6,11.6,29.66,64.1242,KR,240,asia,synthetic,public
ASTRO-REC-RANDOM-000007,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1910-04-28,03:24:17,1910,4,4,3.4,50.8694,31.7055,FR,120,europe,synthetic,public
ASTRO-REC-RANDOM-000008,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1926-11-09,22:59:43,1926,11,2,22.983333333333334,27.6812,114.8218,JP,480,asia,synthetic,public
ASTRO-REC-RANDOM-000009,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1931-03-15,12:17:59,1931,3,0,12.283333333333333,27.4,110.1255,BD,420,asia,synthetic,public
ASTRO-REC-RANDOM-000010,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1998-01-08,01:51:20,1998,1,2,1.85,19.0408,65.957,PK,240,asia,synthetic,public
ASTRO-REC-RANDOM-000011,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1940-04-21,15:25:56,1940,4,0,15.416666666666666,65.3001,-97.8804,CA,-420,north_america,synthetic,public
ASTRO-REC-RANDOM-000012,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1995-09-18,08:47:37,1995,9,1,8.783333333333333,19.9952,112.518,TH,480,asia,synthetic,public
ASTRO-REC-RANDOM-000013,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1917-09-16,02:48:03,1917,9,0,2.8,35.1386,73.7557,JP,300,asia,synthetic,public
ASTRO-REC-RANDOM-000014,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1954-10-03,12:24:38,1954,10,0,12.4,69.8642,16.4557,GR,60,europe,synthetic,public
ASTRO-REC-RANDOM-000015,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1901-11-24,03:43:56,1901,11,0,3.716666666666667,53.794,3.3413,NL,0,europe,synthetic,public
ASTRO-REC-RANDOM-000016,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1955-03-15,00:46:56,1955,3,2,0.7666666666666667,30.1888,147.4699,JP,600,asia,synthetic,public
ASTRO-REC-RANDOM-000017,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1913-11-10,20:32:38,1913,11,1,20.533333333333335,11.9619,93.6522,JP,360,asia,synthetic,public
ASTRO-REC-RANDOM-000018,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1999-09-30,00:38:20,1999,9,4,0.6333333333333333,22.1012,70.0681,TH,300,asia,synthetic,public
ASTRO-REC-RANDOM-000019,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,2006-05-08,01:15:56,2006,5,1,1.25,46.2046,-124.487,MX,-480,north_america,synthetic,public
ASTRO-REC-RANDOM-000020,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1908-09-25,04:08:42,1908,9,5,4.133333333333334,21.6349,109.4823,ID,420,asia,synthetic,public
ASTRO-REC-RANDOM-000021,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1977-07-31,06:59:34,1977,7,0,6.983333333333333,31.4343,122.0881,IR,480,asia,synthetic,public
ASTRO-REC-RANDOM-000022,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1985-11-12,14:57:33,1985,11,2,14.95,20.802,82.3115,CN,300,asia,synthetic,public
ASTRO-REC-RANDOM-000023,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1975-09-08,18:14:00,1975,9,1,18.233333333333334,7.4848,116.7993,KR,480,asia,synthetic,public
ASTRO-REC-RANDOM-000024,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1904-06-03,16:15:17,1904,6,5,16.25,28.4142,79.2813,JP,300,asia,synthetic,public
ASTRO-REC-RANDOM-000025,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,2012-10-19,15:15:50,2012,10,5,15.25,-0.9459,10.5295,ZA,60,africa,synthetic,public
ASTRO-REC-RANDOM-000026,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1955-06-14,13:29:55,1955,6,2,13.483333333333333,30.5177,120.6028,BD,480,asia,synthetic,public
ASTRO-REC-RANDOM-000027,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1951-12-11,03:15:12,1951,12,2,3.25,11.6573,100.3752,VN,420,asia,synthetic,public
ASTRO-REC-RANDOM-000028,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1959-04-28,02:28:51,1959,4,2,2.466666666666667,35.1472,109.5293,IN,420,asia,synthetic,public
ASTRO-REC-RANDOM-000029,ASTRO-SY-RANDOM-v1.0.0,synthetic,1,false,1969-01-03,07:10:26,1969,1,3,7.166666666666667,-0.0338,-3.969,ET,0,africa,synthetic,public
